shot,seed,method,circuit_type,accuracy,f1,macro_f1,weighted_f1,roc_auc,runtime_seconds,best_epoch,num_classes,class_names
16,42,baseline_cnn,,0.58084147977765,0.2936033722112615,0.2936033722112615,0.5287785780656676,0.8043246820814818,50.070359333069064,6,4,"airplane,ship,vehicle,harbor"
16,42,hybrid_control,,0.6066225800268353,0.5788996110961171,0.5788996110961171,0.6157631619341574,0.8285134901879542,58.09949016699102,12,4,"airplane,ship,vehicle,harbor"
16,42,hybrid_no_entanglement,no_entanglement,0.735288479969331,0.6726805569135726,0.6726805569135726,0.744206131146684,0.8849544084435765,137.02232758305036,12,4,"airplane,ship,vehicle,harbor"
16,42,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.646540157178455,0.6084325652768486,0.6084325652768486,0.6576195311053117,0.8566657646762035,349.9977452500025,12,4,"airplane,ship,vehicle,harbor"
16,43,baseline_cnn,,0.698821161587119,0.3731589601445071,0.3731589601445071,0.6375686575116133,0.8266600582576863,54.887449332978576,3,4,"airplane,ship,vehicle,harbor"
16,43,hybrid_control,,0.5647881924477669,0.3112736408702354,0.3112736408702354,0.4925961700800844,0.8232684946439863,57.58121570805088,1,4,"airplane,ship,vehicle,harbor"
16,43,hybrid_no_entanglement,no_entanglement,0.5035940195514663,0.27245657180922683,0.27245657180922683,0.4577022249105226,0.8379195470054758,118.68631491693668,2,4,"airplane,ship,vehicle,harbor"
16,43,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.4985144719187272,0.5091492325841287,0.5091492325841287,0.46828387592710985,0.8799430215154668,357.2887135419296,12,4,"airplane,ship,vehicle,harbor"
16,44,baseline_cnn,,0.36658999424956873,0.2918685944357178,0.2918685944357178,0.22992101517308622,0.8522314008898539,58.648345625028014,6,4,"airplane,ship,vehicle,harbor"
16,44,hybrid_control,,0.45715928694652097,0.47964441950180475,0.47964441950180475,0.38224497181396205,0.8994464718144081,67.03074175002985,12,4,"airplane,ship,vehicle,harbor"
16,44,hybrid_no_entanglement,no_entanglement,0.5957446808510638,0.6052032041987477,0.6052032041987477,0.5944457182825967,0.9094526048236122,140.9745968329953,12,4,"airplane,ship,vehicle,harbor"
16,44,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.6167337550316274,0.6190175664394678,0.6190175664394678,0.6262911550235536,0.9102354188253174,356.10547904099803,12,4,"airplane,ship,vehicle,harbor"
16,45,baseline_cnn,,0.4161874640598045,0.22151205202705557,0.22151205202705557,0.35849858133648443,0.7819381741379408,51.3233045830857,4,4,"airplane,ship,vehicle,harbor"
16,45,hybrid_control,,0.30764807360552043,0.11971907241195133,0.11971907241195133,0.1501881335976651,0.7181002970498087,50.45710145798512,1,4,"airplane,ship,vehicle,harbor"
16,45,hybrid_no_entanglement,no_entanglement,0.6431378186697335,0.5894505853381267,0.5894505853381267,0.6782487046271126,0.8805778543883593,141.17838433291763,12,4,"airplane,ship,vehicle,harbor"
16,45,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.6712670116925437,0.5832717464183746,0.5832717464183746,0.6934654549325817,0.876931560744309,312.65093200001866,12,4,"airplane,ship,vehicle,harbor"
16,46,baseline_cnn,,0.3129193022810044,0.11916928242937441,0.11916928242937441,0.1491614748445112,0.7447476466485365,46.68590120901354,1,4,"airplane,ship,vehicle,harbor"
16,46,hybrid_control,,0.3129193022810044,0.11916928242937441,0.11916928242937441,0.1491614748445112,0.7702628478374158,58.82810124999378,2,4,"airplane,ship,vehicle,harbor"
16,46,hybrid_no_entanglement,no_entanglement,0.45332566609162356,0.48335377246554423,0.48335377246554423,0.39324315475113575,0.8722537789813054,140.4450102080591,12,4,"airplane,ship,vehicle,harbor"
16,46,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.39337741997316467,0.19401444191787676,0.19401444191787676,0.30122781268462595,0.831047070909898,298.4722919999622,3,4,"airplane,ship,vehicle,harbor"
16,47,baseline_cnn,,0.2924094307073031,0.214668017977873,0.214668017977873,0.21347800643159995,0.7641938572657534,55.279597333981656,3,4,"airplane,ship,vehicle,harbor"
16,47,hybrid_control,,0.34981790300939236,0.2353752264118805,0.2353752264118805,0.21000211365701876,0.7695461074193002,59.27254766691476,2,4,"airplane,ship,vehicle,harbor"
16,47,hybrid_no_entanglement,no_entanglement,0.5391987732413265,0.5361467177699946,0.5361467177699946,0.5174705836426071,0.8799637580120772,141.52040566701908,12,4,"airplane,ship,vehicle,harbor"
16,47,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.35115967030860645,0.2523789465035743,0.2523789465035743,0.2120641316316646,0.7442957983614102,295.104385750019,3,4,"airplane,ship,vehicle,harbor"
16,48,baseline_cnn,,0.6326432815794518,0.3407525874571504,0.3407525874571504,0.5799840803498391,0.7394235058849205,51.73217099998146,1,4,"airplane,ship,vehicle,harbor"
16,48,hybrid_control,,0.29475752348092776,0.2942269949360885,0.2942269949360885,0.237320646746,0.8554014567809991,65.50907949998509,12,4,"airplane,ship,vehicle,harbor"
16,48,hybrid_no_entanglement,no_entanglement,0.34521755798351544,0.3623841789629659,0.3623841789629659,0.3272397648477559,0.8431877212002565,140.54676033300348,12,4,"airplane,ship,vehicle,harbor"
16,48,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.3978819244776692,0.4154518799422858,0.4154518799422858,0.4376474605852393,0.8306557506214582,326.91904695809353,12,4,"airplane,ship,vehicle,harbor"
