setting,shot,seed,method,circuit_type,accuracy,f1,macro_f1,weighted_f1,roc_auc,runtime_seconds,best_epoch,num_classes,class_names
transport_logistics4_small_cnn_shot32,32,45,baseline_cnn,,0.7555587502396013,0.7254759824628001,0.7254759824628001,0.7610269092866601,0.915845191377709,63.993111334042624,10,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,45,hybrid_control,,0.7230208932336591,0.6451990843768518,0.6451990843768518,0.7387878394078444,0.916188132758997,65.88489566708449,4,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,45,hybrid_no_entanglement,no_entanglement,0.7041882307839754,0.6196654557818515,0.6196654557818515,0.7276147357217452,0.9154645882009793,142.6094816250261,5,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,45,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.7119513130151428,0.6185035813312267,0.6185035813312267,0.7232730911717152,0.9219008735583513,383.33963054209016,5,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,46,baseline_cnn,,0.3129193022810044,0.11916928242937441,0.11916928242937441,0.1491614748445112,0.7830968670324023,56.76907000003848,1,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,46,hybrid_control,,0.6468276787425724,0.5668542441125686,0.5668542441125686,0.6633380585612367,0.8863835853395006,73.19906100002117,9,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,46,hybrid_no_entanglement,no_entanglement,0.6208548974506422,0.5637680191250443,0.5637680191250443,0.6444766223872264,0.862380758356997,160.78556520794518,9,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,46,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.6557887674908951,0.5941752152459259,0.5941752152459259,0.6730931394067052,0.8963323368391397,438.72334562498145,9,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,47,baseline_cnn,,0.33889208357293465,0.2239312523423653,0.2239312523423653,0.19927100154515254,0.8066710966676686,54.5449114999501,2,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,47,hybrid_control,,0.6313973548016101,0.5681550989841533,0.5681550989841533,0.6631185243660928,0.9102645258109365,63.85301687498577,10,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,47,hybrid_no_entanglement,no_entanglement,0.6288575809852406,0.5650060938519573,0.5650060938519573,0.6675719740445696,0.9025799168289934,141.69317766604945,12,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,47,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.6633601686793176,0.5905030785074132,0.5905030785074132,0.6965810608489938,0.9096848461291158,405.36729862506036,10,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,48,baseline_cnn,,0.5443262411347518,0.529513731168547,0.529513731168547,0.5371338702421632,0.8887771434486587,54.027917791041546,10,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,48,hybrid_control,,0.6415564500670884,0.5730698916819291,0.5730698916819291,0.6794672005506847,0.9012059642824517,62.872160500031896,10,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,48,hybrid_no_entanglement,no_entanglement,0.6385374736438566,0.5668649853092238,0.5668649853092238,0.6709107253009241,0.8885820418034525,139.30081491707824,8,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot32,32,48,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.6361893808702319,0.562038710725319,0.562038710725319,0.6733124582006845,0.8898285254340308,425.7579605419887,10,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,42,baseline_cnn,,0.7382116158711903,0.6540883211261942,0.6540883211261942,0.7555057448023007,0.918080272810143,67.8227251250064,9,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,42,hybrid_control,,0.7383074563925628,0.6592070930679568,0.6592070930679568,0.7573593984042741,0.9207582931205331,77.48795866698492,8,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,42,hybrid_no_entanglement,no_entanglement,0.740559708644815,0.6627491990486164,0.6627491990486164,0.7630066722993891,0.910762523527754,137.34499145892914,1,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,42,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.7375407322215833,0.6586125961216056,0.6586125961216056,0.754029032023447,0.918139728885723,504.17847312497906,5,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,43,baseline_cnn,,0.7762603028560475,0.7117218455812996,0.7117218455812996,0.7848340731951433,0.9313985558004367,67.79380620794836,9,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,43,hybrid_control,,0.7728100440866398,0.7054926423194314,0.7054926423194314,0.782536776741759,0.9323144384696598,75.55920395802241,7,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,43,hybrid_no_entanglement,no_entanglement,0.7777937511980065,0.7095874289910875,0.7095874289910875,0.7866943888005916,0.9363340890998022,187.10650424996857,7,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,43,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.7724746022618363,0.7052578060762056,0.7052578060762056,0.7827101628437853,0.9331876123560909,554.1405454999767,6,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,44,baseline_cnn,,0.713532681617788,0.6542034470790192,0.6542034470790192,0.724063204503712,0.9219694101010548,67.86337595793884,9,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,44,hybrid_control,,0.7474123059229443,0.67098065934419,0.67098065934419,0.7609952028824668,0.9224840284490994,77.5459548329236,10,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,44,hybrid_no_entanglement,no_entanglement,0.7467414222733372,0.6692482223352086,0.6692482223352086,0.761954070423586,0.9218138477550137,194.03546054207254,10,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,44,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.7421410772474603,0.6664931501819027,0.6664931501819027,0.7566649032185588,0.9204853940071909,606.0781086250208,9,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,45,baseline_cnn,,0.7451121334100057,0.7223599486368225,0.7223599486368225,0.7508147292354821,0.9287628048235006,59.975953500019386,8,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,45,hybrid_control,,0.7646156795092965,0.7196715711648368,0.7196715711648368,0.771889948454901,0.9251677127207809,51.406216291943565,1,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,45,hybrid_no_entanglement,no_entanglement,0.748466551658041,0.6842911865719408,0.6842911865719408,0.7614286511125622,0.9234846659618148,142.52056204201654,2,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,45,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.7784646348476135,0.7101773269529951,0.7101773269529951,0.78754546515707,0.9304584657459154,369.5448865420185,1,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,46,baseline_cnn,,0.697479394287905,0.6236459739374607,0.6236459739374607,0.7093926721124085,0.9083005276345045,56.207542167045176,8,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,46,hybrid_control,,0.6621142419014759,0.6011299250327716,0.6011299250327716,0.6856404247929373,0.8943874551108375,54.70665262499824,2,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,46,hybrid_no_entanglement,no_entanglement,0.6835825186889016,0.6162766276582958,0.6162766276582958,0.7045749077120054,0.9039133180815512,121.5955880410038,1,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,46,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.6913935211807553,0.6158821193381478,0.6158821193381478,0.7104810020858893,0.9011282828815532,335.94830858299974,1,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,47,baseline_cnn,,0.7215832854130726,0.6537254598632032,0.6537254598632032,0.7414475411480778,0.9275273196717067,54.997158125042915,10,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,47,hybrid_control,,0.7412305922944221,0.6695102071613288,0.6695102071613288,0.7579795214621811,0.9279040020489907,58.744154250016436,5,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,47,hybrid_no_entanglement,no_entanglement,0.7416139543799118,0.6691009265021747,0.6691009265021747,0.759124845799804,0.9293662452835294,172.41864437493496,12,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,47,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.7427161203756949,0.6699718483947725,0.6699718483947725,0.7598553579133519,0.9286478994199172,538.6719950840343,12,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,48,baseline_cnn,,0.7255127467893425,0.675874236080689,0.675874236080689,0.7374007570967033,0.9284044128843467,57.035150375100784,7,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,48,hybrid_control,,0.7483227908759824,0.6678529432781567,0.6678529432781567,0.7631687197721446,0.9299583671334563,66.02885745896492,9,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,48,hybrid_no_entanglement,no_entanglement,0.748466551658041,0.6679299616933426,0.6679299616933426,0.761104144007669,0.9277887056745994,173.20505891693756,9,4,"airplane,ship,vehicle,harbor"
transport_logistics4_small_cnn_shot64,64,48,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.7501916810427449,0.6684838902588588,0.6684838902588588,0.7643842226854632,0.9310449575945425,540.1924939160235,10,4,"airplane,ship,vehicle,harbor"
